64,101.701,102.105,101.979,102.06,101.712,101.99,102.203,101.89,102.23,102.238,102.038,102.304,102.159,101.898,102.046,102.135,101.604,101.881,101.918,101.701,101.625,102.025,101.855,101.989,101.957,101.604,101.97,102.304
128,202.072,202.591,202.061,201.32,201.942,201.901,202.289,202.191,201.91,201.998,202.08,201.559,202.232,202.528,202.206,201.821,201.258,202.019,202.324,202.122,201.923,200.294,202.154,201.934,201.212,200.294,201.918,202.591
256,399.031,400.696,399.394,398.822,399.763,400.165,399.951,400.629,400.019,398.346,398.115,400.064,398.942,400.15,399.955,399.033,400.212,399.46,399.619,400.122,400.283,398.368,397.559,397.093,400.72,397.093,399.46,400.72
512,779.826,783.167,780.401,781.806,777.281,781.971,776.332,771.274,778.161,780.384,778.2,780.771,778.049,782.174,780.901,778.517,777.918,773.261,773.972,781.247,778.739,778.252,779.819,778.947,782,771.274,778.935,783.167
1024,1481.97,1476.44,1481.45,1481.84,1477.98,1482.77,1474.97,1482.45,1475.33,1471.03,1479.15,1479.78,1475.48,1447.11,1479.62,1473.88,1466.07,1480.65,1480.51,1472.14,1476.11,1477.93,1468.41,1468.55,1480.98,1447.11,1475.7,1482.77
2048,2562.13,2557.33,2546.13,2576.2,2576.94,2549.93,2569.44,2555.09,2550.83,2558.86,2468.44,2580.63,2578.15,2556.7,2578.03,2536.24,2572.68,2580.37,2549.76,2575.43,2527.71,2545.26,2575.48,2555.41,2564.89,2468.44,2557.92,2580.63
4096,4363.63,4334.72,4357.72,4394.99,4397.87,4404.52,4349.04,4416.17,4400.13,4393.83,4351.16,4332.02,4387.5,4415.7,4365.81,4396.36,4407.75,4417.38,4390.72,4364.9,4371.07,4298.99,4376.06,4364.31,4379.25,4298.99,4377.26,4417.38
8192,6516.71,6443.62,6472.94,6494.46,6371.5,6415.64,6493.94,6398.5,6450.13,6481.34,6376.37,6458.18,6451.44,6380.12,6474.04,6505.26,6508.53,6480.76,6447.72,6494.78,6479.92,6426.5,6361.26,6427.68,6385.13,6361.26,6447.86,6516.71
16384,8340.89,8287.36,8254.77,8222.25,8360.29,8357.35,8365.91,8384.86,8322.89,8384.13,8385.04,8342.42,8240.24,8370.78,8366,8251.11,8328.58,8274.68,8248.2,8188.25,8317.58,8347.44,8333.21,8363.66,8179.77,8179.77,8312.71,8385.04
32768,9645.61,9716.17,9670.28,9651.89,9646.63,9678.61,9677.08,9582.85,9437.84,9710.72,9668.07,9606.33,9352.19,9641.67,9678.89,9667.72,9659.08,9581.7,9633.22,9679.59,9722.05,9646.63,9648.16,9492.25,9678.18,9352.19,9630.94,9722.05
65536,10541.4,10524.7,10533.1,10596.3,10603.3,10152.2,10405.8,10608.2,10399.7,10481.3,10558.6,10625.1,10543,10561.9,10550.9,10521.6,10502.1,10539.3,10464.5,10581.2,10535.7,10571.1,10573.1,10622.6,10588.3,10152.2,10527.4,10625.1
131072,10339.7,10420.9,10547.7,10485.9,10439.7,10376.9,10480.2,10458.3,10467.3,10426.5,10514.3,10493.9,10352.5,10083,10266,10459.2,10421,10288.3,10479.5,10496.1,10426.4,10412.6,10426.5,10452,10475.8,10083,10419.6,10547.7
