64,110.783,111.136,111.95,108.371,110.296,112.549,112.698,112.761,112.266,111.8,112.571,111.786,111.932,112.553,111.141,112.347,111.722,112.508,112.065,111.192,111.063,111.978,111.885,112.398,111.946,108.371,111.748,112.761
128,222.574,223.398,218.96,221.071,220.115,220.924,219.106,220.826,218.411,217.457,212.912,222.968,221.722,223.173,222.823,221.533,218.247,222.243,221.601,215.86,221.415,222.559,221.206,222.166,222.315,212.912,220.623,223.398
256,426.601,416.698,437.539,432.12,436.786,396.719,428.58,428.433,430.946,438.843,433.412,422.978,435.327,427.786,437.731,437.725,436.654,433.77,436.244,431.077,438.728,417.923,437.518,431.522,416.604,396.719,429.931,438.843
512,805.301,828.156,846.527,851.475,846.559,849.59,822.199,846.722,844.084,799.43,854.89,851.014,846.922,845.775,838.656,848.125,829.386,838.34,795.809,843.497,840.168,837.379,845.2,797.652,811.496,795.809,834.574,854.89
1024,1503.82,1562.14,1559.66,1544,1546.34,1578.79,1540.83,1465.27,1550.91,1541.01,1527.62,1523.98,1541,1520.22,1511.67,1507.2,1534.94,1518.2,1512.77,1555.35,1557.36,1520.72,1478.93,1496.77,1498.17,1465.27,1527.91,1578.79
2048,2525.26,2551.28,2616.16,2607.16,2589.4,2591.99,2600.45,2595.49,2154.49,2601.97,2628.4,2613.99,2614.6,2613.56,2613.31,2622.62,2574.53,2602.02,2277.19,2611.85,2605.6,2612.78,2627.2,2610.31,2625.39,2154.49,2571.48,2628.4
4096,4155.88,4272.75,4139.58,4194.64,4093.36,4179.1,4227,4214.29,4267.14,4230.39,4213.29,4224.32,4241.41,4258.88,4248.42,4248.1,4265.43,4198.61,4129.75,4167.27,4266.54,4222.33,4112.1,4226.96,4192.06,4093.36,4207.58,4272.75
8192,5800.67,5816.4,5774.16,5870.14,5909.7,5889.95,6076.91,5821.99,5894.94,5765.74,5873.57,5610.92,5790.17,5723.03,5783.68,5793.75,5780.19,5758.25,5746.79,5652.43,5749.74,5827.21,6167.56,5772.74,5732.23,5610.92,5815.31,6167.56
16384,7066.67,7117.24,7330.48,7315.7,7162.12,7364.03,7472.44,7405.84,7059.6,7374.55,7113.27,7232.65,7463.59,7105.55,7414.07,7235.86,7188.54,7521.95,6200.81,7579.13,7135.71,6728.95,7520.69,7175.51,7069.71,6200.81,7214.19,7579.13
32768,7881.25,8270.82,8530.5,7998.23,8058.2,8634.28,8620.89,8659.54,8638.94,8542.79,8478.74,7951.42,7735.03,8305.83,8428.37,7928.23,7844.36,7900.66,8098.37,8327.59,8533.5,8150.49,8532.92,8796.9,8154.25,7735.03,8280.08,8796.9
65536,9179.14,9232.19,9133.9,9372.76,9226.67,8758.35,9172.38,9114.1,9276.88,9323.87,9364.07,9435.95,9412.57,8819.71,9101.85,9279.36,8751.48,8709.4,8700.14,8756.35,9272.03,8948.97,9201.27,9295.99,9286.02,8700.14,9125.02,9435.95
131072,9037.28,9440.71,8823.57,8824.18,8810.75,8908.43,8779.48,9355.12,9325.2,8667.26,8909.69,8546.95,9273.03,9241.54,9216.93,8708.73,8684.07,8653.38,8564.81,8737.25,9460.32,9336.87,9081.68,9462.02,9630.56,8546.95,9019.19,9630.56
262144,8397.01,8956,8393.34,8542.02,8707.14,8286.33,8260.98,8811.83,8514.49,8404.09,8378.06,8829.14,8462.98,8282.65,8159.18,8246.48,8333.19,8089.07,8697.79,8355.42,8558.44,8212.79,8599.5,8722.9,8943.99,8089.07,8485.79,8956
524288,8201.68,8349.03,8152.61,8479.68,8398.22,8406.28,8711.06,8358.85,8090.11,7238.24,8336.37,8240.17,8085.79,8671.38,8392.16,8644.52,8460.89,8262.84,8728.86,8646.4,8750.72,7934.04,8087.96,8672.88,8781.79,7238.24,8363.3,8781.79
1048576,7990.38,8184.8,8686.36,8494.39,8193,7736.5,7877.78,7692.88,7307.07,6615.46,7520.39,7174.89,7914.49,7700.1,7730.31,7619.89,7843.14,7151.13,7049.22,7114.7,7226.62,7435.2,7532.04,6898.4,7321.94,6615.46,7600.44,8686.36
